Country Code,Country,Continent
DZA,Algeria,Africa
AGO,Angola,Africa
BEN,Benin,Africa
BWA,Botswana,Africa
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
CPV,Cabo Verde,Africa
CMR,Cameroon,Africa
CAF,Central African Republic,Africa
TCD,Chad,Africa
COM,Comoros,Africa
COD,Democratic Republic of the Congo,Africa
COG,Republic of the Congo,Africa
CIV,Côte d'Ivoire,Africa
DJI,Djibouti,Africa
EGY,Egypt,Africa
GNQ,Equatorial Guinea,Africa
ETH,Ethiopia,Africa
GAB,Gabon,Africa
GMB,The Gambia,Africa
GHA,Ghana,Africa
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
KEN,Kenya,Africa
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
MDG,Madagascar,Africa
MWI,Malawi,Africa
MLI,Mali,Africa
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MAR,Morocco,Africa
MOZ,Mozambique,Africa
NAM,Namibia,Africa
NER,Niger,Africa
NGA,Nigeria,Africa
RWA,Rwanda,Africa
STP,Sao Tome and Principe,Africa
SEN,Senegal,Africa
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SOM,Somalia,Africa
ZAF,South Africa,Africa
SDN,Sudan,Africa
SSD,South Sudan,Africa
SWZ,Swaziland,Africa
TZA,Tanzania,Africa
TGO,Togo,Africa
TUN,Tunisia,Africa
UGA,Uganda,Africa
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
AFG,Afghanistan,Asia
BHR,Bahrain,Asia
BGD,Bangladesh,Asia
BTN,Bhutan,Asia
BRN,Brunei,Asia
KHM,Cambodia,Asia
CHN,China,Asia
HKG,Hong Kong,Asia
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran,Asia
IRQ,Iraq,Asia
ISR,Israel,Asia
JPN,Japan,Asia
JOR,Jordan,Asia
KAZ,Kazakhstan,Asia
PRK,North Korea,Asia
KOR,South Korea,Asia
KWT,Kuwait,Asia
KGZ,Kyrgyzstan,Asia
LAO,Laos,Asia
LBN,Lebanon,Asia
MAC,Macau,Asia
MYS,Malaysia,Asia
MDV,Maldives,Asia
MNG,Mongolia,Asia
MMR,Myanmar,Asia
NPL,Nepal,Asia
OMN,Oman,Asia
PAK,Pakistan,Asia
PHL,Philippines,Asia
QAT,Qatar,Asia
RUS,Russia,Asia
SAU,Saudi Arabia,Asia
SGP,Singapore,Asia
LKA,Sri Lanka,Asia
SYR,Syria,Asia
TJK,Tajikistan,Asia
THA,Thailand,Asia
TLS,Timor-Leste,Asia
TUR,Turkey,Asia
TKM,Turkmenistan,Asia
ARE,United Arab Emirates,Asia
UZB,Uzbekistan,Asia
VNM,Vietnam,Asia
PSE,West Bank,Asia
YEM,Yemen,Asia
ALB,Albania,Europe
AND,Andorra,Europe
ARM,Armenia,Europe
AUT,Austria,Europe
AZE,Azerbaijan,Europe
BLR,Belarus,Europe
BEL,Belgium,Europe
BIH,Bosnia and Herzegovina,Europe
BGR,Bulgaria,Europe
GGY,Guernsey,Europe
HRV,Croatia,Europe
CYP,Cyprus,Europe
CZE,Czech Republic,Europe
DNK,Denmark,Europe
EST,Estonia,Europe
FRO,Faroe Islands,Europe
FIN,Finland,Europe
FRA,France,Europe
GEO,Georgia,Europe
DEU,Germany,Europe
GIB,Gibraltar,Europe
GRC,Greece,Europe
HUN,Hungary,Europe
ISL,Iceland,Europe
IRL,Ireland,Europe
IMN,Isle of Man,Europe
ITA,Italy,Europe
XKX,Kosovo,Europe
LVA,Latvia,Europe
LIE,Liechtenstein,Europe
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MKD,Macedonia,Europe
MLT,Malta,Europe
MDA,Moldova,Europe
MCO,Monaco,Europe
NLD,Netherlands,Europe
NOR,Norway,Europe
POL,Poland,Europe
PRT,Portugal,Europe
ROU,Romania,Europe
SMR,San Marino,Europe
SRB,Serbia,Europe
SVK,Slovakia,Europe
SVN,Slovenia,Europe
ESP,Spain,Europe
SWE,Sweden,Europe
CHE,Switzerland,Europe
UKR,Ukraine,Europe
GBR,United Kingdom,Europe
ATG,Antigua and Barbuda,America
BHS,The Bahamas,America
BRB,Barbados,America
BLZ,Belize,America
BMU,Bermuda,America
VGB,British Virgin Islands,America
CAN,Canada,America
CYM,Cayman Islands,America
CRI,Costa Rica,America
CUB,Cuba,America
CUW,Curacao,America
DMA,Dominica,America
DOM,Dominican Republic,America
SLV,El Salvador,America
GRL,Greenland,America
GRD,Grenada,America
GUM,Guam,Oceania
GTM,Guatemala,America
HTI,Haiti,America
HND,Honduras,America
JAM,Jamaica,America
MEX,Mexico,America
MNE,Montserrat,Europe
NIC,Nicaragua,America
PAN,Panama,America
PRI,Puerto Rico,America
SXM,Sint Maarten,America
KNA,Saint Kitts and Nevis,America
LCA,Saint Lucia,America
MAF,Saint Pierre and Miquelon,America
VCT,Saint Vincent and the Grenadines,America
TTO,Trinidad and Tobago,America
TCA,Turks and Caicos Islands,America
USA,United States,America
VIR,Virgin Islands,America
ASM,American Samoa,Oceania
AUS,Australia,Oceania
FJI,Fiji,Oceania
PYF,French Polynesia,Oceania
KIR,Kiribati,Oceania
MHL,Marshall Islands,Oceania
FSM,Micronesia,Oceania
NRU,Nauru,Oceania
NCL,New Caledonia,Oceania
NZL,New Zealand,Oceania
MNP,Northern Mariana Islands,Oceania
PLW,Palau,Oceania
PNG,Papua New Guinea,Oceania
WSM,Samoa,Oceania
SLB,Solomon Islands,Oceania
TON,Tonga,Oceania
TUV,Tuvalu,Oceania
VUT,Vanuatu,Oceania
ARG,Argentina,America
ABW,Aruba,America
BOL,Bolivia,America
BRA,Brazil,America
CHL,Chile,America
COL,Colombia,America
ECU,Ecuador,America
GUY,Guyana,America
PRY,Paraguay,America
PER,Peru,America
SUR,Suriname,America
URY,Uruguay,America
VEN,Venezuela,America
